Time,Min hop D,Min hop A,Least loaded,CDC,INDICES 2D,INDICES 2A,INDICES 3B,SLO
1,193.6005,235.7135,225.39425,332.524,179.0565,114.00175,145.265,200
2,200.058,196.67575,221.1775,323.8323333,178.11125,117.03775,141.49575,200
3,204.9285,207.307,217.11475,317.187,179.03625,114.892,144.349,200
4,195.9153333,212.9505,227.57375,329.185,178.2025,118.248,141.64025,200
5,200.9148,201.32,217.64275,319.6996667,178.4545,144.097,162.4185,200
6,198.061,201.78325,221.84325,315.4153333,178.97075,119.86575,146.64575,200
7,198.32775,168.67775,223.78325,319.3146667,178.7165,124.9174,141.70975,200
8,200.19875,168.754,216.03075,327.5816667,176.8975,123.5885,142.46775,200
9,201.42575,168.55325,217.06825,321.223,176.04375,112.2005,154.71525,200
10,196.55075,167.58,225.53325,290.304,178.251,120.6235,179.2595,200
11,194.51975,165.94975,215.5765,282.724,175.94475,141.8766667,158.8465,200
12,195.1745,193.38225,216.33875,308.0876667,176.93525,122.3946,147.03575,200
13,196.95625,218.12475,217.999,316.601,179.7795,110.8173333,144.75525,200
14,193.0825,222.04325,226.334,314.0613333,175.7565,123.688,138.3695,200
15,200.05975,237.3635,219.2945,306.2175,177.89675,122.0848,163.28175,200
16,195.17575,188.9845,223.39975,298.7236667,177.30025,132.1643333,155.69925,200
17,196.2955,167.86425,220.95525,292.9656667,175.481,141.7005,143.745,200
18,196.48325,168.0585,225.948,298.80425,178.171,130.44175,145.4855,200
19,194.956,168.87975,219.2365,320.8583333,175.437,143.32775,142.297,200
20,196.5275,166.67775,217.171,302.616,176.1785,141.98,148.07625,200
21,194.92075,168.67975,216.324,322.9343333,178.59775,127.99325,142.69075,200
22,194.45425,182.10175,220.2255,310.7183333,176.63175,127.13425,143.13225,200
23,201.85175,183.0055,219.1265,295.9333333,176.489,114.1675,142.84525,200
24,195.37175,193.2595,220.27225,303.5045,177.383,115.2965,143.96625,200
25,197.77025,206.61975,216.54175,312.9206667,176.9045,139.5445,145.589,200
26,194.71375,216.818,213.277,297.1553333,176.62225,121.2735,169.952,200
27,196.7705,203.59475,220.70975,308.8883333,175.71525,128.209,144.263,200
28,194.11125,183.50625,220.514,306.15525,176.06125,124.833,146.17625,200
29,202.86475,167.92625,217.42775,313.331,177.24325,113.2195,141.1165,200
30,195.17575,188.30925,230.15725,300.306,176.701,119.2515,145.10625,200
31,193.465,238.55325,218.50925,292.113,175.267,123.25025,157.804,200
32,194.47425,227.89025,226.32125,286.403,176.18775,119.369,145.817,200
33,197.18325,236.7365,222.5245,276.249,176.3575,119.456,142.51425,200
34,193.894,182.95875,217.69975,289.44275,174.27675,126.63675,141.9425,200
35,196.4315,208.30525,227.10675,289.3946667,175.5325,132.08225,149.05025,200
36,196.11575,204.94975,217.17925,289.7156667,176.8815,113.81575,146.3125,200
37,193.25675,168.7815,218.14475,292.81275,176.48725,114.34075,145.8025,200
