index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,index_prev
1,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.324,126267230.5,358247,3312919.5,1.185,1146,13,55,0,505917.5,444.824,1.403,12771820,1145,1691383,0.001,;,2,base,0.000001,111093,0.001,31.527,2,1045.249,0.001,
2,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.301,108303411.5,808491,4471123.5,12.461,1659,1,1419,0,21546941.5,489.445,230.687,1350293,1657,5542299.5,0.001,;,2,base,0.111094,0.999990999,114.164,32.249,34,1047.871,55.547,1
3,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.295,195592498,511030,10532277.5,14.187,5711,24,15027,0,1263433.5,745.039,2.007,30424010.5,5707,5443896.5,0.001,;1,2,base,0.000001,111093,0.001,34.641,2,1047.985,0.001,
4,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.284,213377257.5,925710.5,11394849.5,26.382,6005,193.004,16383,0,24755317,764.379,199.686,13662605.5,6007,7601392,0.001,;1,2,base,0.111913,0.99267288,115.537,34.121,34,40.588,55.956,3
5,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.328,156122744.5,545028,10035678,16.355,5285,192.006,13659,0,1993970.5,765.941,2.409,91543843.5,5285,6471002,0.001,;2,2,base,0.000001,111093,0.001,33.326,2,38.828,0.001,
6,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.279,142149271.5,935563,9739152.5,28.76,4804,50.003,12971,0,21126976.5,770.914,225.935,19605756.5,4808,7815252.5,0.001,;2,2,base,0.144316,0.769789905,157.416,31.92,26,38.505,72.158,5
7,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.325,208709027,676910,10576522.5,18.472,5437,59.002,31885,0,4756312.5,815.641,2.362,18584055.5,5435,7156082,0.001,;3,2,base,0.000001,111093,0.001,31.907,2,37.727,0.001,
8,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.338,227495581,1094360,12150349.5,29.874,7092,9,40863,0,29202988,858.051,205.242,10389513.5,7092,14149468.5,0.001,;3,2,base,0.116446,0.954030194,118.171,30.838,32,36.95,58.223,7
9,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.309,156363641,822419.5,9190285.5,17.629,4519,9.001,10991,0,3664196.5,870.371,2.714,644345729.5,4520,6680057.5,0.001,;4,2,base,0.000001,111093,0.001,32.907,2,38.479,0.001,
10,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.285,187822010.5,962460,9641477.5,29.799,4805,8,13103,0,27879184,870.758,201.62,6819094,4806,14108525.5,0.001,;4,2,base,0.115757,0.9597087,117.253,38.228,32,44.026,57.879,9
11,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.326,164811500,1653213,9109882,19.039,4125,116.002,10475,0,9201845.5,921.695,2.535,84767687,4123,6761715,0.001,;5,2,base,0.000001,111093,0.001,30.877,2,37.736,0.001,
12,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.287,258561700.5,1017828.5,8944529.5,29.692,4452,393.012,12092,0,34309219,923.629,226.035,27028003.5,4452,20060739.5,0.001,;5,2,base,0.117198,0.947908667,119.155,32.445,32,40.025,58.599,11
13,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.287,113997315.5,583354.5,8001317.5,17.643,3875,11,9320,0,5685446.5,922.566,2.21,14412604.5,3869,5287287,0.001,;6,2,base,0.000001,111093,0.001,31.379,2,37.144,0.001,
14,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.357,168658773,978359,8605171.5,29.567,4110,3,11109,0,29950174.5,924.75,201.785,6058879,4116,12498161,0.001,;6,2,base,0.111093,1,114.393,33.899,34,40.418,55.547,13
15,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.376,281924227,457695,8646676,17.801,4441,4,13022,0,1099062,917.563,1.671,13176262,4444,5417239,0.001,;7,2,base,0.000001,111093,0.001,34.223,2,40.436,0.001,
16,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.316,160028335.5,882289,8517421,31.642,4515,49.005,12626,0,22438141,905.004,213.722,32167944,4514,13068122,0.001,;7,2,base,0.125863,0.882650183,153.722,39.16,30,44.632,62.931,15
17,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.414,167820485,485444,7288746.5,18.512,3553,5,10189,0,1559876.5,899.18,2.075,1687525,3552,4835900.5,0.001,;8,2,base,0.000001,111093,0.001,34.868,2,42.57,0.001,
18,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.301,194859001.5,880554,8019272.5,31.281,3819,70.002,10209,0,24371478,895.25,224.193,23526540,3818,9209693.5,0.001,;8,2,base,0.126838,0.875865277,160.041,32.745,30,38.519,63.419,17
19,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.365,172187035,508084.5,9892959,15.529,5174,12,14335,0,2093687,891.805,1.777,6727692.5,5170,8373888,0.001,;9,2,base,0.000001,111093,0.001,33.566,2,40.175,0.001,
20,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.288,165832665.5,939332,11020380.5,28.158,5653,40.998,15912,0,26336214.5,887.559,217.653,20983710.5,5650,12796194,0.001,;9,2,base,0.116229,0.955811372,118.265,32.321,32,38.678,58.114,19
21,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.299,216796134,495046,11637004,13.136,6149,47,16802,0,1502340.5,886.695,2.098,52270178.5,6152,6289759,0.001,;10,2,base,0.000001,111093,0.001,35.818,2,41.354,0.001,
22,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.271,174613316,935162.5,12534535.5,25.362,6841,12,18999,0,27071659,888.105,213.952,36071756,6834,9985324,0.001,;10,2,base,0.117716,0.94373747,125.794,31.231,32,36.913,58.858,21
23,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.301,207576270.8,491382,9218620.5,15.67,4918,46.004,12363,0,1215129.5,882.555,2.799,193585067.3,4917,6318981,0.001,;11,2,base,0.000001,111093,0.001,33.455,2,39.335,0.001,
24,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.287,179325553.5,920693,11259636,27.565,5680,38.999,16075,0,25520820,880.152,224.314,46321118.5,5677,11236362.5,0.001,;11,2,base,0.115031,0.96576575,117.382,31.7,34,37.473,57.516,23
25,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.288,213538875,508328.5,11684563,13.945,6375,46.001,18697,0,1470632,878.219,2.368,37138642.5,6373,7765852,0.001,;12,2,base,0.000001,111093,0.001,33.045,2,40.123,0.001,
26,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.289,284532598,940025.5,12006284,26.15,6727,45.998,20662,0,26706048,876.664,215.944,15778038.5,6729,10948858,0.001,;12,2,base,0.11707,0.948945076,120.443,31.096,32,38.329,58.535,25
27,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.289,194485158.5,531290,11854609.5,14.17,6189,6,17482,0,1392411.5,877.66,2.179,15851072.5,6183,7048364,0.001,;13,2,base,0.000001,111093,0.001,36.394,2,42.296,0.001,
28,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.322,195396639,958996,11895044,26.441,6192,6,17746,0,23528870.5,884.695,196.189,16585244.5,6193,14110935.5,0.001,;13,2,base,0.128262,0.86614118,151.703,43.023,30,49.143,64.131,27
29,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.327,248304627,587379.5,14303649,14.51,10796,6,32668,0,7983938,905.539,1.906,20693706.5,10805,7972971.5,0.001,;14,2,base,0.000001,111093,0.001,31.081,2,38.531,0.001,
30,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.301,237332695.5,947045,15690632,26.986,11537,5,33705,0,34357325,915.348,211.48,8151927,11534,10891760,0.001,;14,2,base,0.123115,0.90235146,139.857,33.607,32,40.676,61.557,29
31,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.311,287978860.5,626087,13996099,16.03,10468,65.005,29526,0,7641996,933.508,1.742,10301943,10466,7314082,0.001,;15,2,base,0.000001,111093,0.001,32.053,2,38.066,0.001,
32,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.311,235452710.5,987897,14258808,28.607,10650,21.002,31992,0,34141531,926.344,203.73,14851163.5,10651,11311644.5,0.001,;15,2,base,0.120682,0.920543246,131.755,32.605,32,39.844,60.341,31
33,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.326,171971364,529951.5,11155969,13.981,5834,31.994,16223,0,1400846.5,910.965,1.87,31225394,5840,8513876.5,0.001,;16,2,base,0.000001,111093,0.001,217.786,2,223.315,0.001,
34,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.302,221534424,964795.5,12037085.5,27.096,6305,40,16871,0,25684634,908.547,212.647,17073854,6304,9653777.5,0.001,;16,2,base,0.117404,0.946245443,119.259,36.64,32,43.218,58.702,33
35,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.298,183064289.5,539348.5,10430346,14.205,5419,11,14013,0,2465587.5,909.176,1.861,13135244,5411,6906424,0.001,;17,2,base,0.000001,111093,0.001,31.136,2,36.687,0.001,
36,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.272,159820971.5,990660.5,10835269.5,27.17,6023,15,16783,0,27161537.5,909.879,211.224,10310695,6026,16276962,0.001,;17,2,base,0.116963,0.949813189,118.492,32.408,32,38.982,58.481,35
37,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.295,184495809,517080,9924448.5,15.605,5204,11.001,14054,0,1261327,911.914,1.902,1710760.5,5205,6611506.5,0.001,;18,2,base,0.000001,111093,0.001,34.236,2,40.716,0.001,
38,parsec,1.48E+18,1481924718,img_processing,1.48E+12,0,TRUE,0.269,149231884,925353,11194406.5,27.552,5667,18,15605,0,25549517,918.008,217.315,19180841,5665,17911191.5,0.001,;18,2,base,0.116094,0.956922838,118.377,236.219,32,241.86,58.047,37
39,parsec,1.48E+18,1481924718,prev,1.48E+12,0,TRUE,0.304,157174801,548194.5,10419450.5,15.681,5449,21.001,15056,0,1835229,914.676,1.774,11160087,5443,10485792,0.001,;19,2,base,0.000001,111093,0.001,32.085,2,38.487,0.001,
