index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,index_prev
1,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.428,266725730.5,1793241.5,10528235,5.157,2848,2,35,0,2359157,757.719,3.755,15493564.5,2848,58236192.5,0.001,;,2,base,0.000001,102828,0.001,23.996,2,29.946,0.001,
2,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.314,279029254,2336491,11951748.5,14.717,3159,1,1373,0,24358046,764.684,216.753,286176,3158,42398999,0.001,;,2,base,0.102828,1,108.603,26.136,36,33.815,51.414,1
3,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.374,340286504,1898089.5,16511568.5,11.427,6640,608.978,7361,0,3147634.5,967.445,5.421,2443992513,6630,44987263,0.001,;1,2,base,0.000001,102828,0.001,22.532,2,28.398,0.001,
4,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.291,369661611,2634389,19378238,28.914,8081,135.001,17393,0,28631652,971.543,230.524,41037300.5,8083,64365428,0.001,;1,2,base,0.111482,0.922373119,117.834,18.929,34,24.736,55.741,3
5,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.35,330598359,1876462.5,16607242,18.233,6196,23,10883,0,3664536.5,984.57,4.695,117548201,6197,42126466.5,0.001,;2,2,base,0.000001,102828,0.001,23.012,2,28.679,0.001,
6,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.295,353289291,2574734,18582113.5,30.032,7672,10.998,15575,0,28202923.5,980.523,210.454,23190376.5,7668,42396048.5,0.001,;2,2,base,0.11062,0.929560658,114.048,19.797,34,26.707,55.31,5
7,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.353,372913429.5,1935430,16687165.5,20.668,7138,2765.933,28820,0,5637111.5,1035.953,4.57,27279115,7142,37598909,0.001,;3,2,base,0.000001,102828,0.001,115.602,2,120.8,0.001,
8,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.304,408257000.5,2568868,19874338.5,33.081,9008,84,38013,0,30943861,1067.68,218.779,13873167.5,9007,55976082,0.001,;3,2,base,0.11049,0.930654358,114.619,22.128,34,27.96,55.245,7
9,parsec,1.48E+18,1481850074,prev,1.48E+12,0,TRUE,0.359,310535982.5,1845777.5,15563381.5,18.841,5692,9,10340,0,4246515,1089.977,4.519,22022351.5,5692,41131160.5,0.001,;4,2,base,0.000001,102828,0.001,19.342,2,26.761,0.001,
10,parsec,1.48E+18,1481850074,img_processing,1.48E+12,0,TRUE,0.291,334656340,2592608,16429847.5,32.811,6430,5,13386,0,31678684,1083.43,230.721,3444713,6425,50846776.5,0.001,;4,2,base,0.110481,0.930730171,117.082,19.629,34,25.767,55.24,9
