index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,weighted_latency,index_prev
1,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.248,17903238.5,248550,1119953,25.22,342,13,1183,0,5549186982,695.984,2.161,12489062.5,342,3356219,0.001,stream;,2,base,0.000001,217290,0.001,13.454,2,19.981,0.001,
2,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.495,278146787.5,572758.5,21445585,49.937,653,1,74572,0,615332172.8,698.211,86.571,209467,653,8006181,0.001,stream;,2,base,0.25799,0.842241947,258.783,12.803,16,17.871,128.995,1
3,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.607,789405061.5,395049,33950217,52.136,1374,1158.014,151394,0,298526811.5,940.879,2.036,1251576949,1371,16725620.5,0.001,stream;1,2,base,0.000001,217290,0.001,13.666,2,19.66,0.001,
4,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.561,1299259212,781217,61851700,75.282,894,8,280589,0,108400488.6,940.758,87.334,17370997.5,894,19535949,nan,stream;1,2,0.001,0.284195,0.764580658,286.935,11.662,14,17.194,142.097,3
5,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.488,653271540.5,1170259,28325005,50.688,705,838.983,129753,0,263838916.6,938.473,1.545,133345747,705,13800389,0.001,stream;2,2,base,0.000001,217290,0.001,13.098,2,17.748,0.001,
6,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.549,1188220981,881279.5,55957160.5,75.659,920,48.005,255861,0,111174865,936.844,87.467,43983365,920,13763998,0.001,stream;2,2,base,0.289044,0.751754058,290.719,13.966,14,19.683,144.522,5
7,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.622,980218720,381305,41891747.5,52.494,1111,2755.877,193205,0,231000432.3,956.57,1.861,361189116,1111,6432944.5,0.001,stream;3,2,base,0.000001,217290,0.001,11.809,2,17.258,0.001,
8,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.577,1426824310,648050.5,65850265.5,75.75,911,37.999,303999,0,103561656.5,958.516,76.095,9833554,911,17035926.5,0.001,stream;3,2,base,0.290842,0.747106676,292.342,11.872,14,16.351,145.421,7
9,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.484,650109431.5,1197968.5,28012567.5,51.447,932,1443.04,125705,0,269243679.8,975.574,1.552,244339964,936,9904635.5,0.001,stream;4,2,base,0.000001,217290,0.001,12.192,2,16.773,0.001,
10,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.557,1121095773,665740,54340917,75.91,902,896,244438,0,119657413.5,978.445,74.842,62975483.5,904,16932686.5,0.001,stream;4,2,base,0.288504,0.753161135,293.512,12.462,14,19.906,144.252,9
11,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.579,630833736,447735,27135222.5,50.816,615,382.001,125653,0,303419238.7,1050.117,1.641,78075025,615,6122186.5,nan,stream;5,2,0.001,0.000001,217290,0.001,13.174,2,20.25,0.001,
12,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.545,1017805065,632484,49509848,75.031,819,5,224355,0,123029051.1,1050.379,75.137,334670,819,16496616,0.001,stream;5,2,base,0.283277,0.767058392,294.797,14.115,14,19.141,141.638,11
13,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.566,1049221023,633703.5,50465346.5,74.937,879,3,224248,0,122199005,1060.242,87.435,50772868,879,12136341,nan,stream;6,2,0.001,0.29146,0.745522542,297.856,12.458,14,18.131,145.73,
14,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.604,759835020,354992,33295469.5,50.941,723,153.001,153426,0,273863276.3,1060.59,2.319,431873393,720,8084180,0.001,stream;7,2,base,0.000001,217290,0.001,12.151,2,17.749,0.001,
15,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.568,1099086359,639315,53342563,74.969,818,25,238072,0,118058922.2,1056.07,86.827,5309140,818,11078602,0.001,stream;7,2,base,0.288048,0.754353441,289.804,12.51,14,17.737,144.024,14
16,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.616,679522813.5,333007,29697996.5,50.378,814,119,134509,0,294519601.8,1057.715,2.058,233592746,814,8124560.5,0.001,stream;8,2,base,0.000001,217290,0.001,14.375,2,20.768,0.001,
17,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.604,1104155860,608790.5,48970001.5,75.25,784,2,217776,0,122272643.7,1050.152,87.437,7777662,784,9687275,0.001,stream;8,2,base,0.284677,0.76328611,285.823,13.455,14,19.711,142.339,16
18,parsec,1.48E+18,1484083126,prev,1.48E+12,0,TRUE,0.636,1065980930,331793,45065079,51.759,542,1817.997,211490,0,205715536.5,1032.363,2.655,5483745,542,6394171.5,0.001,stream;9,2,base,0.000001,217290,0.001,13.535,2,18.808,0.001,
19,parsec,1.48E+18,1484083126,img_processing,1.48E+12,0,TRUE,0.587,1353074625,620656.5,63545030.25,75.125,890,57,277648,0,106916680,1021.496,88.308,14943990.25,890,11370021.75,0.001,stream;9,2,base,0.287748,0.755139914,291.093,11.887,14,17.302,143.874,18
