index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_misses,web_cache_ref,web_cpupercent,web_cs,web_disk,web_kvm_exit,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,index_prev
1,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.225,151204660.5,2309691,52503435,0.587,621,12,32,13905398,1352095,2604.684,2.739,3441043,607,482487,0.001,;,2,base,0.000001,189887,0.001,20.676,2,26.036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
2,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.29,213833268.5,5628852.5,75610761,10.75,4040,36.001,13371,51395358.5,5575423.5,2842.398,3.802,19706661,4025,893196.5,0.001,;1,2,base,0.000001,189887,0.001,20.638,2,25.659,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
3,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.278,210227553,6547895.5,73991747.5,18.643,4652,32.999,16847,104350448,20630600,2852.133,150.033,28750567.5,4639,1816180.5,0.001,;1,2,base,0.199804,0.950366359,201.953,22.451,20,27.673,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.902,2
4,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.264,167612406,5246804,69282858.5,12.092,3493,9,11696,42446921,6172019.5,2852.902,3.986,57813203,3486,402632,0.001,;2,2,base,0.000001,189887,0.001,21.147,2,28.744,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
5,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.308,227631869.5,5760652.5,83355687.5,20.47,3802,40.998,12818,97421037.5,21807637,2848.781,145.425,13640905.5,3794,887621.5,0.001,;2,2,base,0.198852,0.954916219,203.342,20.67,20,26.222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.426,4
6,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.291,218568192,6622373.5,82572164.5,10.972,4437,2754.183,20787,51898534.5,9014264,2900.016,3.709,124677855,4431,915008.5,0.001,;3,2,base,0.000001,189887,0.001,21.228,2,26.336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
7,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.329,274534270.5,7740173.5,94916725.5,21.399,5104,26.005,32008,99304833,24038766.5,2949.82,141.858,31191835,5093,666623,0.001,;3,2,base,0.201179,0.943870881,206.214,22.14,20,27.733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.59,6
8,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.336,207583441,4838053.5,81936755,12.647,2643,1434.906,9368,40114286,7241221.5,2950.371,3.929,17098406,2629,301633,0.001,;4,2,base,0.000001,189887,0.001,26.049,2,31.319,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
9,parsec,1.48E+18,1481661405,img_processing,1.48E+12,0,TRUE,0.33,250127534.5,5804132.5,85613535.5,20.52,3518,3,13031,103430134,25774671.5,2948.813,140.099,3675807,3508,830238,0.001,;4,2,base,0.200071,0.94909807,204.195,197.462,20,203.031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.035,8
10,parsec,1.48E+18,1481661405,prev,1.48E+12,0,TRUE,0.346,252758984,5210263,88719578,11.75,3137,386.01,10043,39639387,10404916.5,2992.684,3.802,15008470.5,3133,843430,0.001,;5,2,base,0.000001,189887,0.001,21.484,2,27.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001,
