index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_missesweb_kvm_exit,web_cache_ref,web_cpupercent,web_cs,web_disk,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,interference_prev,index_prev
0,parsec,1.48135e+18,1481353479,parsec.blackscholes,1.48135e+12,0,True,0.398,343927797.5,1706447.0,15960420.0,16.614,6020,27.001,10213,0,3086224.0,617.016,0,23745225.5,6024,59869538.0,0.001,;,2,base,0.052,1.0,0.054,20.818,8,28.114,,,,,,,,,,,,,,,0.026,;1,
1,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.283,564229379.8,2724731.25,32206230.25,60.397,19203,74.002,69822,0,14492566.75,1867.789,0,106195608.5,19199,365017379.5,0.001,;10;3;11,2,base,0.06,0.866666666667,0.061,19.209,8,24.658,,,,,,,,,,,,,,,0.03,;10;3;11;1,258.0
2,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.33,557679415.0,2397503.5,29220589.0,39.797,17066,56.998,46192,0,10801334.0,1852.914,0,2262086.0,17064,158935687.0,0.001,;12;18;11,2,base,0.063,0.825396825397,0.068,20.474,8,26.141,,,,,,,,,,,,,,,0.032,;12;18;11;1,261.0
3,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.275,461628582.0,3183748.5,22928642.0,87.964,13747,2930.0,48976,0,19138330.0,3008.582,0,163319413.5,13746,6006415479.0,0.001,;13;15;18;3;9;12,2,base,0.082,0.634146341463,0.1,31.198,4,36.16,,,,,,,,,,,,,,,0.041,;13;15;18;3;9;12;1,289.0
4,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.289,473586299.5,3249655.0,22637442.0,87.268,13429,14.001,43589,0,19949316.5,3119.434,0,24590550.5,13429,5731203501.0,0.001,;14;16;9;13;20;13,2,base,0.07,0.742857142857,0.073,26.241,4,31.905,,,,,,,,,,,,,,,0.035,;14;16;9;13;20;13;1,316.0
5,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.271,496877216.5,2766383.0,32034485.0,58.809,19095,73.999,51646,0,13854965.0,1889.566,0,32199973.5,19093,293411043.0,0.001,;16;19;17,2,base,0.066,0.787878787879,0.068,21.17,8,26.393,,,,,,,,,,,,,,,0.033,;16;19;17;1,428.0
6,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.271,487221159.0,3371842.5,26312054.5,79.872,16083,1842.96,48611,0,21345294.0,2523.594,0,12463017.5,16082,3498201115.0,0.001,;17;13;18;16;6,2,base,0.077,0.675324675325,0.085,21.348,6,26.933,,,,,,,,,,,,,,,0.038,;17;13;18;16;6;1,130.0
7,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.28,490298055.0,3262372.0,25578602.0,78.873,15489,3941.067,46360,0,18245324.5,2570.918,0,101961150.0,15479,3614755841.0,0.001,;1;9;19;20;10,2,base,0.098,0.530612244898,0.109,25.123,6,31.513,,,,,,,,,,,,,,,0.049,;1;9;19;20;10;1,240.0
8,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.28,421909494.0,3431517.5,19544322.5,89.32,10390,49.0,37309,0,24981195.5,2804.434,0,44976114.5,10389,6099645812.0,0.001,;3;9;5;5;5;20,2,base,0.098,0.530612244898,0.118,25.353,4,32.336,,,,,,,,,,,,,,,0.049,;3;9;5;5;5;20;1,511.0
9,parsec,1.48137e+18,1481353479,parsec.blackscholes,1.48137e+12,0,True,0.277,325614746.0,3022984.0,14163437.5,97.543,6735,113.002,22431,0,14966447.0,3389.84,0,4840408.5,6735,9366661053.0,0.001,;3;9;5;5;5;20;7,2,base,0.138,0.376811594203,0.138,12.392,2,21.615,,,,,,,,,,,,,,,0.069,;3;9;5;5;5;20;7;1,165.0
10,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.266,555115367.5,3531343.0,30151358.5,74.566,19529,84.002,68261,0,33162155.5,2206.301,0,15060527.5,19524,1784083660.0,0.001,;5;3;15;18,2,base,0.067,0.776119402985,0.071,20.191,6,25.437,,,,,,,,,,,,,,,0.034,;5;3;15;18;1,467.0
11,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.264,488511763.0,3516140.5,26401426.0,80.154,17029,103.0,51695,0,26848326.5,2629.352,0,18966205.0,17028,3703758924.0,0.001,;6;16;6;14;11,2,base,0.082,0.634146341463,0.096,23.809,6,31.684,,,,,,,,,,,,,,,0.041,;6;16;6;14;11;1,274.0
12,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.276,472197329.0,2664898.5,27343279.5,64.943,16268,76.998,44708,0,13784822.5,1878.098,0,30933448.0,16266,469608077.5,0.001,;8;2;9,2,base,0.064,0.8125,0.071,20.963,8,26.502,,,,,,,,,,,,,,,0.032,;8;2;9;1,225.0
13,parsec,1.48136e+18,1481353479,parsec.blackscholes,1.48136e+12,0,True,0.273,570493968.0,3094444.0,33968945.5,61.079,22622,78.0,65518,0,23822110.5,1838.973,0,37733098.0,22609,356198950.0,0.001,;9;17;15,2,base,0.056,0.928571428571,0.064,19.826,8,25.159,,,,,,,,,,,,,,,0.028,;9;17;15;1,387.0
14,parsec,1.48135e+18,1481353479,parsec.bodytrack,1.48135e+12,0,True,0.392,347722755.5,1692157.0,15428966.5,16.614,6177,13.0,9517,0,3534767.0,618.367,0,34238708.0,6175,45116673.0,0.001,;,2,base,0.153,1.0,0.177,18.836,6,26.308,,,,,,,,,,,,,,,0.076,;2,
15,parsec,1.48136e+18,1481353479,parsec.bodytrack,1.48136e+12,0,True,0.261,515917545.5,3518203.0,28194911.0,79.231,17668,83.0,65545,0,24968404.0,2648.141,0,54634406.5,17668,3615655275.0,0.001,;10;3;11;15;18,2,base,0.277,0.552346570397,0.295,24.91,4,30.206,,,,,,,,,,,,,,,0.139,;10;3;11;15;18;2,449.0
