index,name,time,benchmark_grp,benchmark_id,benchtime_ms,cores,dataprocessed,host_IPC,host_IPS,host_cache_misses,host_cache_ref,host_cpupercent,host_cs,host_disk_io,host_kvm_exit,host_llc_bw,host_mem_bw,host_memory,host_net_io,host_sched_iowait,host_sched_switch,host_sched_wait,intensity,interference,interval,kernel,latency,performance,latency90,process_dur_ms,throughput,total_dur_ms,web_IPC,web_IPS,web_cache_missesweb_kvm_exit,web_cache_ref,web_cpupercent,web_cs,web_disk,web_llc_bw,web_mem_bw,web_memory,web_net,web_sched_iowait,web_sched_switch,web_sched_wait,weighted_latency,interference_prev,index_prev
0,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.356,316601412.5,6649093.0,118523853.5,10.18,4203,31.5,13052.0,61925334.0,5503578.0,2624.479,12.885,6926329.0,4187,247774.0,0.001,;,2,base,0.08,0.9875,0.082,67.43,8,72.342,0.333,50461943.5,2209723.0,19120763.0,9.245,1453,23.002,4559970.0,829102.5,2048,2.752,13172,707154.5,1454,0.04,;1,
1,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.283,507127326.5,26168680.0,218269231.5,59.975,27087,64.002,105526.0,482594015.0,141456006.5,5548.621,16.609,56560437.5,27089,57505703.0,0.001,;10;14;5;13;15,2,base,0.079,1.0,0.081,70.206,6,74.313,0.515,57331634.5,2242082.0,20292346.5,9.006,1270,1.0,11519249.5,3541837.0,2048,2.626,11962,156424.0,1272,0.04,;10;14;5;13;15;1,721.0
2,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.335,646383270.0,26902557.5,256464277.0,71.183,27440,259.139,127560.0,451876308.5,145127433.0,6842.406,17.684,42450054.0,27436,335011715.0,0.001,;10;14;5;13;15;6,2,base,0.08,0.9875,0.081,122.653,6,128.282,0.326,61702683.0,2161929.5,19680565.5,8.832,1302,0.0,11716809.5,2525923.5,2048,2.228,15789,606593.5,1309,0.04,;10;14;5;13;15;6;1,290.0
3,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.42,814338686.0,26081819.0,291364846.0,84.095,24102,140.031,261897.0,346837548.0,128276128.0,9185.527,15.78,20118828.5,24100,2269220413.0,0.001,;10;14;5;13;15;6;18;6,2,base,0.083,0.951807228916,0.084,98.214,4,102.178,0.517,74102763.5,1577494.0,22760257.0,8.114,930,25.871,11422654.5,10946513.0,2048,1.738,36279,3166315.0,939,0.042,;10;14;5;13;15;6;18;6;1,292.0
4,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.496,1002637956.0,24673853.0,333657000.5,88.992,21029,2162.122,399567.0,269253071.5,100643778.0,10639.836,20.549,307910838.5,21031,4296555830.0,0.001,;10;14;5;13;15;6;18;6;9,2,base,0.108,0.731481481481,0.13,53.792,4,57.585,0.549,105881468.0,1695185.0,32418726.5,7.993,944,16.98,8608116.0,1933315.5,2048,1.104,46427,9250624.0,938,0.054,;10;14;5;13;15;6;18;6;9;1,427.0
5,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.553,1283460288.0,23500673.5,397493604.0,92.505,17536,141.99,594107.0,234443834.5,78542623.5,11698.801,17.995,13304277.0,17543,6462648906.0,0.001,;10;14;5;13;15;6;18;6;9;1,2,base,0.133,0.593984962406,0.133,106.617,2,111.487,0.712,131869883.5,1545451.0,33791264.0,7.864,781,0.0,14094943.5,4015521.5,2048,0.908,59031,0.0,788,0.067,;10;14;5;13;15;6;18;6;9;1;1,4.0
6,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.277,362506549.5,16046236.0,151028110.0,41.68,14882,188.993,55952.0,253533890.5,41950996.0,4009.594,15.571,87284332.0,14877,19372034.5,0.001,;11;13;16,2,base,0.081,0.975308641975,0.082,35.665,6,40.886,0.312,50007570.5,1916087.5,16750188.5,8.981,1370,0.0,10010672.0,1369030.5,2048,2.412,12079,143799.0,1370,0.041,;11;13;16;1,780.0
7,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.309,534811940.0,22710432.5,212046178.5,70.169,22139,124.984,110801.0,424777234.0,102798241.5,6125.926,18.215,60758733.0,22134,302411409.5,0.001,;11;13;16;1;7;16,2,base,0.081,0.975308641975,0.083,175.523,6,179.54,0.36,44457474.5,2194849.0,18990589.0,9.088,1339,5.963,12153802.0,3225499.5,2048,2.026,14549,518505.5,1348,0.041,;11;13;16;1;7;16;1,781.0
8,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.425,788335969.5,23056946.0,275963107.5,83.906,19931,106.989,274740.0,321361933.5,105512172.0,9067.184,18.788,19122403.5,19930,2410199414.0,0.001,;11;13;16;1;7;16;6;16,2,base,0.084,0.940476190476,0.091,91.316,6,95.859,0.436,69080829.5,1928470.0,27398085.0,8.348,1043,20.998,7699018.0,4675754.5,2048,1.784,30431,1177426.5,1045,0.042,;11;13;16;1;7;16;6;16;1,783.0
9,parsec,1.48e+18,1481131355,parsec.blackscholes,1.48e+12,0,True,0.611,1379506909.0,19871385.0,402513314.0,94.145,12033,2369.043,670645.5,169028875.0,59297336.5,12237.133,16.895,24811419.0,12035,7398563161.0,0.001,;11;13;16;1;7;16;6;16;16;5,2,base,0.121,0.652892561983,0.121,27.148,2,32.284,0.716,156633848.0,1435456.5,44083103.0,7.764,575,3.02,5101127.5,4212008.5,2048,0.49,79854,186789.0,588,0.06,;11;13;16;1;7;16;6;16;16;5;1,238.0
