TIMESTAMP,RESPONSE_TIME,EXECUTION_TIME,SERVER_IP,STATE
1482824010189,338.836,155.386,129.59.234.136,0
1482824010524,328.015,155.763,129.59.234.136,0
1482824010830,298.642,155.839,129.59.234.136,0
1482824011140,303.143,155.356,129.59.234.136,0
1482824011433,286.652,155.796,129.59.234.136,0
1482824011745,305.076,155.897,129.59.234.136,0
1482824012070,317.514,156.568,129.59.234.136,0
1482824012384,307.298,156.233,129.59.234.136,0
1482824012698,307.473,156.76,129.59.234.136,0
1482824012985,280.329,156.909,129.59.234.136,0
1482824013280,288.195,156.211,129.59.234.136,0
1482824013563,275.535,156.349,129.59.234.136,0
1482824013846,276.444,156.98,129.59.234.136,0
1482824014144,291.084,156.835,129.59.234.136,0
1482824014431,280.552,156.797,129.59.234.136,0
1482824014723,284.689,157.92,129.59.234.136,0
1482824015008,275.64,157.582,129.59.234.136,0
1482824015305,289.796,156.936,129.59.234.136,0
1482824015635,323.221,156.952,129.59.234.136,0
1482824015919,277.447,157.05,129.59.234.136,0
1482824016223,297.261,157.612,129.59.234.136,0
1482824016514,285.39,155.929,129.59.234.136,0
1482824016802,280.229,158.129,129.59.234.136,0
1482824017099,290.4,157.85,129.59.234.136,0
1482824017396,290.367,156.833,129.59.234.136,0
1482824017708,304.669,157.358,129.59.234.136,0
1482824018002,287.585,156.937,129.59.234.136,0
1482824018297,288.206,156.893,129.59.234.136,0
1482824018640,335.53,157.808,129.59.234.136,0
1482824018945,298.071,157.751,129.59.234.136,0
1482824019255,303.413,156.311,129.59.234.136,0
1482824019589,326.442,158.546,129.59.234.136,0
1482824019888,289.745,156.799,129.59.234.136,0
1482824020195,296.129,157.608,129.59.234.136,0
1482824020514,312.569,157.438,129.59.234.136,0
1482824020813,291.985,158.079,129.59.234.136,0
1482824021123,303.835,158.81,129.59.234.136,0
1482824021440,309.553,157.286,129.59.234.136,0
1482824021763,316.114,157.716,129.59.234.136,0
1482824022052,282.034,156.062,129.59.234.136,0
1482824022347,286.024,156.653,129.59.234.136,0
1482824022661,307.167,155.08,129.59.234.136,0
1482824022960,291.377,155.934,129.59.234.136,0
1482824023274,307.31,157.042,129.59.234.136,0
1482824023592,310.668,156.704,129.59.234.136,0
1482824023896,298.347,155.996,129.59.234.136,0
1482824024192,288.635,157.059,129.59.234.136,0
1482824024489,291.532,157.094,129.59.234.136,0
1482824024794,297.45,157.952,129.59.234.136,0
1482824025103,301.538,157.232,129.59.234.136,0
1482824025384,271.813,158.152,129.59.234.136,0
1482824025675,283.835,156.773,129.59.234.136,0
1482824025967,284.353,155.639,129.59.234.136,0
1482824026258,285.339,156.486,129.59.234.136,0
1482824026557,293.593,158.141,129.59.234.136,0
1482824026869,305.566,158.996,129.59.234.136,0
1482824027156,277.356,157.435,129.59.234.136,0
1482824027457,293.336,158.123,129.59.234.136,0
1482824027740,276.007,158.36,129.59.234.136,0
1482824028026,279.081,158.217,129.59.234.136,0
1482824028314,281.475,157.141,129.59.234.136,0
1482824028594,272.739,158.048,129.59.234.136,0
